31.134.124.247,2022-11-11,15:59:37.818798,19:46:12.878516,False
31.134.124.247,2022-11-11,19:46:12.878516,23:53:02.486734,True
31.134.124.247,2022-11-12,00:00:02.878516,06:53:02.486734,True
31.134.124.247,2022-11-12,06:53:02.486734,08:47:33.923222,False
31.134.124.247,2022-11-12,08:47:33.923222,10:41:15.242799,True
31.134.124.247,2022-11-12,10:41:15.923587,16:16:02.866451,False
31.134.124.247,2022-11-12,16:16:02.866451,21:05:50.448876,True
31.134.124.247,2022-11-12,21:05:50.448876,23:59:25.072912,False
31.134.124.247,2022-11-13,00:00:00.448876,00:17:25.072912,False
31.134.124.247,2022-11-13,00:17:25.072912,07:51:32.869413,True
31.134.124.247,2022-11-13,07:51:32.869413,12:07:31.772019,False
31.134.124.247,2022-11-13,12:07:31.772019,16:13:58.548461,True
31.134.124.247,2022-11-13,16:13:58.548461,20:07:48.079647,False
31.134.124.247,2022-11-13,20:07:48.079647,23:47:51.934531,True
31.134.124.247,2022-11-14,00:07:48.079647,07:47:51.934531,True
31.134.124.247,2022-11-14,07:47:51.934531,12:11:25.343524,False
31.134.124.247,2022-11-14,12:11:25.343524,13:16:17.380930,True
8.8.8.822,2022-11-14,13:16:17.380930,14:03:08.475595,False
8.8.8.8,2022-11-14,14:03:08.475595,14:03:49.694322,True
